"outcome","OR_agency","p_agency","OR_tiktok","p_tiktok","p_interact"
"Harsh_Roads",0.938297336792027,0.910387244328635,0.877658378889109,0.809943651692641,0.517803303774171
"Villages_Temples",0.634169560928797,0.321720005984656,0.755330338153383,0.516773999882318,0.032189351850654
"Rivers_Fields",0.956377102299407,0.921024346048991,0.271140623946204,0.00322536030991524,0.606738267907825
"Culture",0.74078580421272,0.52004863788575,0.45836547405399,0.0792887055844504,0.00260114319443498
"Locals",0.459174306767819,0.0984581051044892,0.424682604546078,0.050519809455936,0.443266944850233
"Tour_Group",5.04265782758251,0.000908775118723794,0.464845429243426,0.0891701680459477,0.79061849409634
"Eating_Partying",0.514611520910772,0.213367316500278,0.715526603501753,0.488659388799908,0.72888372771354
